Red,Green,Blue
0.465,0.296,0.239
0.532,0.278,0.190
0.538,0.287,0.175
0.542,0.292,0.167
0.543,0.286,0.171
0.538,0.292,0.169
0.550,0.283,0.167
0.545,0.291,0.164
0.560,0.280,0.160
0.556,0.278,0.167
0.547,0.283,0.170
0.542,0.292,0.167
0.553,0.289,0.158
0.553,0.289,0.158
0.556,0.278,0.167
0.556,0.278,0.167
0.561,0.293,0.146
0.560,0.280,0.160
0.556,0.278,0.167
0.600,0.267,0.133
0.591,0.273,0.136
0.562,0.281,0.156
0.564,0.282,0.154
0.556,0.278,0.167
0.553,0.289,0.158
0.550,0.300,0.150
0.541,0.297,0.162
0.550,0.300,0.150
0.545,0.303,0.152
0.545,0.303,0.152
0.548,0.290,0.161
0.537,0.293,0.171
0.541,0.297,0.162
0.548,0.290,0.161
0.548,0.290,0.161
0.533,0.300,0.167
0.548,0.290,0.161
0.531,0.312,0.156
0.529,0.294,0.176
0.529,0.294,0.176
0.531,0.312,0.156
0.548,0.290,0.161
0.533,0.300,0.167
0.533,0.300,0.167
0.517,0.310,0.172
0.536,0.286,0.179
0.533,0.300,0.167
0.529,0.294,0.176
0.529,0.294,0.176
0.545,0.303,0.152
0.533,0.300,0.167
0.542,0.292,0.167
0.550,0.300,0.150
0.550,0.300,0.150
0.545,0.318,0.136
0.542,0.292,0.167
0.542,0.292,0.167
0.560,0.280,0.160
0.550,0.300,0.150
0.542,0.292,0.167
0.526,0.316,0.158
0.531,0.312,0.156
0.538,0.308,0.154
0.536,0.286,0.179
0.531,0.312,0.156
0.550,0.300,0.150
0.538,0.308,0.154
0.552,0.284,0.164
0.540,0.300,0.160
0.548,0.286,0.167
0.533,0.289,0.178
0.529,0.294,0.176
0.556,0.278,0.167
0.538,0.308,0.154
0.579,0.263,0.158
0.560,0.280,0.160
0.562,0.281,0.156
0.548,0.290,0.161
0.544,0.298,0.158
0.533,0.300,0.167
0.552,0.293,0.155
0.556,0.278,0.167
0.560,0.280,0.160
0.560,0.280,0.160
0.552,0.276,0.172
0.542,0.292,0.167
0.571,0.286,0.143
0.556,0.278,0.167
0.550,0.300,0.150
0.556,0.296,0.148
0.542,0.292,0.167
0.560,0.280,0.160
0.528,0.306,0.167
0.548,0.290,0.161
0.531,0.312,0.156
0.528,0.306,0.167
0.533,0.311,0.156
0.545,0.303,0.152
0.545,0.303,0.152
0.517,0.310,0.172
0.520,0.320,0.160
0.538,0.308,0.154
0.542,0.292,0.167
0.556,0.278,0.167
0.550,0.300,0.150
0.562,0.312,0.125
0.538,0.308,0.154
0.625,0.250,0.125
0.583,0.250,0.167
0.545,0.273,0.182
0.625,0.250,0.125
0.524,0.286,0.190
0.545,0.273,0.182
0.524,0.310,0.167
0.524,0.286,0.190
0.538,0.308,0.154
0.529,0.294,0.176
0.542,0.292,0.167
0.548,0.290,0.161
