Red,Green,Blue
0.525,0.237,0.237
0.580,0.200,0.220
0.562,0.219,0.219
0.574,0.213,0.213
0.559,0.220,0.220
0.571,0.214,0.214
0.588,0.196,0.216
0.590,0.205,0.205
0.586,0.207,0.207
0.636,0.182,0.182
0.632,0.211,0.158
0.636,0.182,0.182
0.633,0.200,0.167
0.591,0.227,0.182
0.609,0.217,0.174
0.625,0.208,0.167
0.600,0.229,0.171
0.615,0.205,0.179
0.621,0.207,0.172
0.625,0.208,0.167
0.625,0.187,0.187
0.625,0.187,0.187
0.619,0.190,0.190
0.632,0.211,0.158
0.613,0.226,0.161
0.600,0.200,0.200
0.606,0.212,0.182
0.591,0.227,0.182
0.632,0.211,0.158
0.643,0.214,0.143
0.588,0.235,0.176
0.636,0.182,0.182
0.562,0.250,0.187
0.571,0.238,0.190
0.591,0.227,0.182
0.591,0.227,0.182
0.588,0.235,0.176
0.600,0.200,0.200
0.636,0.182,0.182
0.588,0.235,0.176
0.609,0.217,0.174
0.611,0.222,0.167
0.611,0.222,0.167
0.621,0.207,0.172
0.621,0.207,0.172
0.618,0.206,0.176
0.618,0.206,0.176
0.630,0.185,0.185
0.640,0.200,0.160
0.630,0.185,0.185
0.615,0.192,0.192
0.652,0.174,0.174
0.647,0.176,0.176
0.647,0.176,0.176
0.667,0.200,0.133
0.684,0.158,0.158
0.647,0.176,0.176
0.667,0.200,0.133
0.667,0.200,0.133
0.667,0.167,0.167
0.667,0.167,0.167
0.636,0.182,0.182
0.667,0.222,0.111
0.667,0.222,0.111
0.636,0.182,0.182
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.750,0.125,0.125
0.636,0.182,0.182
0.667,0.167,0.167
0.650,0.200,0.150
0.636,0.182,0.182
0.636,0.182,0.182
0.630,0.185,0.185
0.625,0.208,0.167
0.630,0.185,0.185
0.633,0.200,0.167
0.621,0.207,0.172
0.621,0.207,0.172
0.652,0.174,0.174
0.621,0.207,0.172
0.632,0.211,0.158
0.647,0.176,0.176
0.667,0.200,0.133
0.643,0.214,0.143
0.625,0.187,0.187
0.615,0.231,0.154
0.615,0.231,0.154
0.588,0.235,0.176
0.615,0.231,0.154
0.583,0.250,0.167
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.625,0.250,0.125
0.667,0.167,0.167
0.667,0.167,0.167
0.588,0.235,0.176
0.600,0.200,0.200
0.577,0.231,0.192
0.611,0.222,0.167
0.593,0.222,0.185
0.591,0.227,0.182
0.591,0.227,0.182
0.605,0.211,0.184
0.622,0.200,0.178
0.645,0.194,0.161
0.596,0.213,0.191
0.632,0.184,0.184
0.630,0.185,0.185
0.667,0.167,0.167
0.655,0.172,0.172
0.667,0.185,0.148
0.647,0.176,0.176
0.684,0.158,0.158
0.636,0.182,0.182
0.647,0.176,0.176
0.625,0.187,0.187
0.647,0.176,0.176
0.700,0.150,0.150
0.643,0.179,0.179
0.643,0.179,0.179
0.633,0.200,0.167
0.636,0.182,0.182
0.640,0.200,0.160
0.640,0.200,0.160
0.632,0.211,0.158
0.609,0.217,0.174
0.647,0.176,0.176
0.643,0.214,0.143
0.615,0.231,0.154
0.636,0.182,0.182
0.667,0.167,0.167
0.619,0.190,0.190
0.600,0.200,0.200
0.633,0.200,0.167
0.643,0.179,0.179
0.618,0.206,0.176
0.633,0.200,0.167
0.629,0.200,0.171
0.636,0.212,0.152
0.650,0.200,0.150
0.632,0.211,0.158
0.643,0.214,0.143
0.647,0.176,0.176
0.632,0.211,0.158
0.600,0.200,0.200
0.600,0.200,0.200
0.560,0.240,0.200
0.571,0.238,0.190
0.591,0.227,0.182
0.588,0.235,0.176
0.619,0.190,0.190
0.650,0.200,0.150
0.667,0.200,0.133
0.667,0.200,0.133
0.632,0.211,0.158
0.650,0.200,0.150
0.650,0.200,0.150
0.625,0.208,0.167
0.654,0.192,0.154
0.645,0.194,0.161
0.618,0.206,0.176
0.611,0.222,0.167
0.579,0.237,0.184
0.622,0.216,0.162
0.667,0.167,0.167
0.639,0.194,0.167
0.638,0.191,0.170
0.625,0.200,0.175
0.595,0.216,0.189
0.562,0.219,0.219
0.525,0.250,0.225
0.522,0.261,0.217
0.531,0.245,0.224
0.531,0.245,0.224
0.538,0.250,0.212
0.536,0.250,0.214
0.553,0.255,0.191
0.548,0.258,0.194
0.583,0.250,0.167
0.667,0.333,0.000
0.667,0.167,0.167
0.667,0.167,0.167
0.556,0.222,0.222
0.611,0.222,0.167
0.714,0.143,0.143
0.667,0.167,0.167
0.667,0.167,0.167
0.650,0.200,0.150
0.647,0.176,0.176
0.643,0.179,0.179
0.652,0.174,0.174
0.680,0.160,0.160
0.680,0.160,0.160
0.655,0.172,0.172
0.667,0.167,0.167
0.639,0.194,0.167
0.588,0.216,0.196
0.605,0.209,0.186
0.618,0.206,0.176
0.583,0.222,0.194
0.667,0.167,0.167
0.562,0.250,0.187
0.611,0.222,0.167
0.609,0.217,0.174
0.625,0.208,0.167
0.632,0.211,0.158
0.611,0.222,0.167
0.591,0.227,0.182
0.571,0.238,0.190
0.667,0.222,0.111
0.667,0.200,0.133
0.636,0.182,0.182
0.636,0.182,0.182
0.667,0.222,0.111
0.700,0.200,0.100
0.636,0.182,0.182
0.643,0.214,0.143
0.667,0.167,0.167
0.667,0.200,0.133
0.667,0.200,0.133
0.667,0.222,0.111
0.615,0.231,0.154
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.643,0.214,0.143
0.650,0.200,0.150
0.687,0.187,0.125
0.667,0.167,0.167
0.684,0.158,0.158
0.667,0.200,0.133
0.667,0.167,0.167
0.667,0.167,0.167
0.692,0.154,0.154
0.667,0.167,0.167
0.636,0.182,0.182
0.667,0.167,0.167
0.714,0.143,0.143
0.667,0.222,0.111
0.667,0.167,0.167
0.667,0.200,0.133
0.667,0.167,0.167
0.667,0.190,0.143
0.682,0.182,0.136
0.667,0.167,0.167
0.654,0.192,0.154
0.680,0.160,0.160
0.680,0.160,0.160
0.667,0.167,0.167
0.682,0.182,0.136
0.684,0.158,0.158
0.647,0.176,0.176
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.750,0.125,0.125
0.692,0.154,0.154
0.615,0.192,0.192
0.581,0.226,0.194
0.600,0.200,0.200
0.611,0.222,0.167
0.632,0.211,0.158
0.643,0.214,0.143
0.615,0.231,0.154
0.667,0.222,0.111
0.667,0.167,0.167
0.714,0.143,0.143
0.636,0.182,0.182
0.643,0.214,0.143
0.643,0.214,0.143
0.667,0.200,0.133
0.643,0.214,0.143
0.667,0.167,0.167
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.615,0.231,0.154
0.625,0.250,0.125
0.636,0.182,0.182
0.667,0.167,0.167
0.632,0.211,0.158
0.611,0.222,0.167
0.600,0.200,0.200
0.625,0.250,0.125
0.636,0.182,0.182
0.576,0.242,0.182
0.600,0.200,0.200
0.625,0.250,0.125
0.600,0.200,0.200
0.600,0.200,0.200
0.625,0.187,0.187
0.611,0.222,0.167
0.667,0.200,0.133
0.615,0.231,0.154
0.600,0.240,0.160
0.600,0.200,0.200
0.559,0.265,0.176
0.548,0.262,0.190
0.560,0.240,0.200
0.562,0.250,0.187
0.600,0.200,0.200
0.600,0.200,0.200
0.714,0.143,0.143
0.615,0.231,0.154
0.647,0.176,0.176
0.625,0.208,0.167
0.613,0.194,0.194
0.621,0.207,0.172
0.636,0.182,0.182
0.647,0.176,0.176
0.643,0.214,0.143
0.625,0.208,0.167
0.600,0.200,0.200
0.611,0.222,0.167
0.619,0.190,0.190
0.632,0.211,0.158
0.636,0.182,0.182
0.667,0.190,0.143
0.667,0.190,0.143
0.655,0.172,0.172
0.652,0.174,0.174
0.684,0.158,0.158
0.667,0.167,0.167
0.619,0.190,0.190
0.556,0.222,0.222
0.600,0.200,0.200
0.600,0.200,0.200
0.654,0.192,0.154
0.684,0.158,0.158
0.667,0.167,0.167
0.656,0.187,0.156
0.667,0.200,0.133
0.667,0.190,0.143
0.667,0.200,0.133
0.652,0.174,0.174
0.619,0.190,0.190
0.647,0.176,0.176
0.600,0.200,0.200
0.636,0.182,0.182
0.615,0.231,0.154
0.643,0.214,0.143
0.643,0.214,0.143
0.615,0.231,0.154
0.667,0.222,0.111
0.647,0.176,0.176
0.643,0.214,0.143
0.650,0.200,0.150
0.609,0.217,0.174
0.609,0.217,0.174
0.647,0.176,0.176
0.636,0.182,0.182
0.643,0.214,0.143
0.615,0.231,0.154
0.667,0.222,0.111
0.615,0.231,0.154
0.632,0.211,0.158
0.667,0.167,0.167
0.667,0.200,0.133
0.647,0.176,0.176
0.632,0.211,0.158
0.625,0.208,0.167
0.625,0.208,0.167
0.640,0.200,0.160
0.650,0.200,0.150
0.687,0.187,0.125
0.700,0.150,0.150
0.667,0.190,0.143
0.667,0.167,0.167
0.643,0.179,0.179
0.679,0.179,0.143
0.677,0.161,0.161
0.667,0.182,0.152
0.667,0.167,0.167
0.652,0.174,0.174
0.680,0.160,0.160
0.647,0.176,0.176
0.636,0.182,0.182
0.657,0.171,0.171
0.655,0.172,0.172
0.667,0.167,0.167
0.650,0.200,0.150
0.636,0.182,0.182
0.643,0.214,0.143
0.632,0.211,0.158
0.643,0.214,0.143
0.692,0.154,0.154
0.667,0.167,0.167
0.643,0.214,0.143
0.625,0.187,0.187
0.643,0.214,0.143
0.667,0.222,0.111
0.667,0.222,0.111
0.667,0.222,0.111
0.600,0.200,0.200
0.667,0.200,0.133
