Red,Green,Blue
0.475,0.288,0.237
0.481,0.286,0.234
0.520,0.240,0.240
0.538,0.231,0.231
0.571,0.214,0.214
0.588,0.235,0.176
0.485,0.273,0.242
0.464,0.286,0.250
0.467,0.267,0.267
0.509,0.264,0.226
0.527,0.255,0.218
0.536,0.250,0.214
0.547,0.245,0.208
0.538,0.250,0.212
0.542,0.250,0.208
0.574,0.234,0.191
0.611,0.222,0.167
0.581,0.233,0.186
0.595,0.214,0.190
0.606,0.212,0.182
0.609,0.217,0.174
0.636,0.182,0.182
0.643,0.214,0.143
0.632,0.211,0.158
0.625,0.208,0.167
0.607,0.214,0.179
0.647,0.176,0.176
0.619,0.190,0.190
0.609,0.217,0.174
0.609,0.217,0.174
0.609,0.217,0.174
0.632,0.211,0.158
0.611,0.222,0.167
0.632,0.211,0.158
0.647,0.176,0.176
0.619,0.190,0.190
0.647,0.176,0.176
0.625,0.208,0.167
0.607,0.214,0.179
0.633,0.200,0.167
0.633,0.200,0.167
0.618,0.206,0.176
0.606,0.212,0.182
0.640,0.200,0.160
0.613,0.226,0.161
0.607,0.214,0.179
0.578,0.222,0.200
0.569,0.235,0.196
0.585,0.220,0.195
0.647,0.176,0.176
0.667,0.167,0.167
0.600,0.200,0.200
0.619,0.190,0.190
0.625,0.208,0.167
0.667,0.222,0.111
0.625,0.250,0.125
0.625,0.250,0.125
0.625,0.250,0.125
0.600,0.200,0.200
0.500,0.250,0.250
0.667,0.167,0.167
0.667,0.167,0.167
0.600,0.200,0.200
0.522,0.261,0.217
0.571,0.214,0.214
0.600,0.200,0.200
0.556,0.222,0.222
0.643,0.214,0.143
0.625,0.208,0.167
0.636,0.182,0.182
0.667,0.167,0.167
0.600,0.200,0.200
0.611,0.222,0.167
0.615,0.231,0.154
0.636,0.182,0.182
0.600,0.200,0.200
0.636,0.182,0.182
0.600,0.200,0.200
0.625,0.250,0.125
0.600,0.200,0.200
0.667,0.222,0.111
0.714,0.143,0.143
0.667,0.222,0.111
0.600,0.200,0.200
0.714,0.143,0.143
0.636,0.182,0.182
0.647,0.176,0.176
0.625,0.187,0.187
0.600,0.200,0.200
0.611,0.222,0.167
0.714,0.143,0.143
0.714,0.143,0.143
0.556,0.244,0.200
0.615,0.231,0.154
0.667,0.222,0.111
0.643,0.214,0.143
0.667,0.167,0.167
0.600,0.200,0.200
0.500,0.250,0.250
0.600,0.200,0.200
0.714,0.143,0.143
0.667,0.167,0.167
0.667,0.167,0.167
0.643,0.214,0.143
0.636,0.182,0.182
0.667,0.167,0.167
0.625,0.250,0.125
0.625,0.250,0.125
0.667,0.167,0.167
0.667,0.167,0.167
0.600,0.200,0.200
0.500,0.250,0.250
0.625,0.250,0.125
0.516,0.258,0.226
0.571,0.286,0.143
0.520,0.240,0.240
0.547,0.245,0.208
0.571,0.229,0.200
0.567,0.233,0.200
0.567,0.233,0.200
0.559,0.235,0.206
0.594,0.219,0.187
0.607,0.214,0.179
0.583,0.208,0.208
0.560,0.240,0.200
0.565,0.217,0.217
0.588,0.235,0.176
0.562,0.250,0.187
0.615,0.231,0.154
0.600,0.200,0.200
0.636,0.182,0.182
0.636,0.182,0.182
0.600,0.200,0.200
0.625,0.187,0.187
0.647,0.176,0.176
0.636,0.182,0.182
0.636,0.182,0.182
1.000,0.000,0.000
0.533,0.233,0.233
0.478,0.283,0.239
0.509,0.273,0.218
0.542,0.254,0.203
0.547,0.245,0.208
0.526,0.263,0.211
0.533,0.250,0.217
0.544,0.246,0.211
0.556,0.241,0.204
0.551,0.245,0.204
0.553,0.234,0.213
0.553,0.234,0.213
0.542,0.250,0.208
0.547,0.245,0.208
0.536,0.250,0.214
0.533,0.250,0.217
0.533,0.250,0.217
0.552,0.241,0.207
0.571,0.238,0.190
0.571,0.229,0.200
0.590,0.231,0.179
0.600,0.200,0.200
0.593,0.222,0.185
0.607,0.214,0.179
0.593,0.222,0.185
0.607,0.214,0.179
0.593,0.222,0.185
0.593,0.222,0.185
0.625,0.208,0.167
0.640,0.200,0.160
0.615,0.231,0.154
0.625,0.208,0.167
0.609,0.217,0.174
0.571,0.238,0.190
0.600,0.200,0.200
0.591,0.227,0.182
0.609,0.217,0.174
0.609,0.217,0.174
0.625,0.208,0.167
0.609,0.217,0.174
0.625,0.208,0.167
0.640,0.200,0.160
0.643,0.214,0.143
0.625,0.250,0.125
0.625,0.250,0.125
0.571,0.286,0.143
0.625,0.250,0.125
0.714,0.143,0.143
0.714,0.143,0.143
0.667,0.222,0.111
0.636,0.182,0.182
0.636,0.182,0.182
0.615,0.231,0.154
0.615,0.231,0.154
0.636,0.182,0.182
0.667,0.222,0.111
0.636,0.182,0.182
0.636,0.182,0.182
0.636,0.182,0.182
0.600,0.200,0.200
0.643,0.214,0.143
0.611,0.222,0.167
0.615,0.231,0.154
0.615,0.231,0.154
0.611,0.222,0.167
0.611,0.222,0.167
0.625,0.187,0.187
0.636,0.182,0.182
0.600,0.200,0.200
0.571,0.214,0.214
0.600,0.200,0.200
0.600,0.200,0.200
0.593,0.222,0.185
0.600,0.200,0.200
0.636,0.182,0.182
0.615,0.231,0.154
0.600,0.200,0.200
0.667,0.167,0.167
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.615,0.231,0.154
0.600,0.200,0.200
0.714,0.143,0.143
0.667,0.167,0.167
0.556,0.222,0.222
0.571,0.238,0.190
0.513,0.256,0.231
0.514,0.257,0.229
0.500,0.261,0.239
0.545,0.242,0.212
0.536,0.250,0.214
0.625,0.187,0.187
0.591,0.227,0.182
0.636,0.182,0.182
0.714,0.143,0.143
0.667,0.167,0.167
0.667,0.167,0.167
0.667,0.167,0.167
0.714,0.143,0.143
0.571,0.214,0.214
0.556,0.222,0.222
0.556,0.222,0.222
0.565,0.217,0.217
0.600,0.200,0.200
0.636,0.182,0.182
0.615,0.231,0.154
0.636,0.182,0.182
0.667,0.222,0.111
0.600,0.200,0.200
0.625,0.187,0.187
0.625,0.187,0.187
0.636,0.182,0.182
0.615,0.231,0.154
0.615,0.231,0.154
0.643,0.214,0.143
0.579,0.211,0.211
0.500,0.263,0.237
0.541,0.243,0.216
0.577,0.231,0.192
0.591,0.227,0.182
0.583,0.250,0.167
0.615,0.231,0.154
0.600,0.200,0.200
0.625,0.250,0.125
0.625,0.250,0.125
0.625,0.250,0.125
0.714,0.143,0.143
0.593,0.222,0.185
0.607,0.214,0.179
0.593,0.222,0.185
0.607,0.214,0.179
0.593,0.222,0.185
0.600,0.200,0.200
0.600,0.200,0.200
0.586,0.207,0.207
0.593,0.222,0.185
0.571,0.238,0.190
0.562,0.219,0.219
0.511,0.267,0.222
0.511,0.267,0.222
0.500,0.261,0.239
0.512,0.256,0.233
0.531,0.250,0.219
0.625,0.187,0.187
0.636,0.182,0.182
0.667,0.222,0.111
0.636,0.182,0.182
0.625,0.250,0.125
0.636,0.182,0.182
0.636,0.182,0.182
0.667,0.167,0.167
0.588,0.235,0.176
0.562,0.250,0.187
0.500,0.286,0.214
0.583,0.250,0.167
0.600,0.200,0.200
0.600,0.200,0.200
0.600,0.200,0.200
0.583,0.250,0.167
0.600,0.200,0.200
0.625,0.187,0.187
0.611,0.222,0.167
0.611,0.222,0.167
0.636,0.182,0.182
0.609,0.217,0.174
0.607,0.214,0.179
0.606,0.212,0.182
0.611,0.222,0.167
0.595,0.216,0.189
0.583,0.222,0.194
0.595,0.216,0.189
0.600,0.229,0.171
0.625,0.208,0.167
0.571,0.238,0.190
0.609,0.217,0.174
0.588,0.235,0.176
0.591,0.227,0.182
0.577,0.231,0.192
0.600,0.200,0.200
0.609,0.217,0.174
0.591,0.227,0.182
0.609,0.217,0.174
0.611,0.222,0.167
0.571,0.238,0.190
0.588,0.235,0.176
0.600,0.200,0.200
0.600,0.200,0.200
0.615,0.231,0.154
0.615,0.231,0.154
0.600,0.200,0.200
0.545,0.273,0.182
0.556,0.222,0.222
0.600,0.200,0.200
0.600,0.200,0.200
0.556,0.222,0.222
0.556,0.222,0.222
0.600,0.200,0.200
0.714,0.143,0.143
0.615,0.231,0.154
0.556,0.222,0.222
0.591,0.227,0.182
0.588,0.235,0.176
0.615,0.231,0.154
0.583,0.250,0.167
0.556,0.244,0.200
0.571,0.229,0.200
0.593,0.222,0.185
0.593,0.222,0.185
0.577,0.231,0.192
0.591,0.227,0.182
0.609,0.217,0.174
0.647,0.176,0.176
0.647,0.176,0.176
0.625,0.187,0.187
0.667,0.167,0.167
0.615,0.231,0.154
0.643,0.214,0.143
0.600,0.200,0.200
0.600,0.200,0.200
0.667,0.167,0.167
0.600,0.200,0.200
0.625,0.250,0.125
0.625,0.250,0.125
0.600,0.200,0.200
0.625,0.250,0.125
0.625,0.250,0.125
0.625,0.250,0.125
0.600,0.200,0.200
0.600,0.200,0.200
0.625,0.250,0.125
0.636,0.182,0.182
0.600,0.200,0.200
0.500,0.250,0.250
0.600,0.200,0.200
0.517,0.241,0.241
0.583,0.208,0.208
0.588,0.235,0.176
0.615,0.231,0.154
0.600,0.200,0.200
0.600,0.200,0.200
0.556,0.222,0.222
0.556,0.222,0.222
0.600,0.200,0.200
0.600,0.200,0.200
0.625,0.250,0.125
0.600,0.200,0.200
0.600,0.200,0.200
0.636,0.182,0.182
0.600,0.200,0.200
0.583,0.250,0.167
0.588,0.235,0.176
0.583,0.250,0.167
0.600,0.200,0.200
0.636,0.182,0.182
0.625,0.250,0.125
0.667,0.167,0.167
0.500,0.250,0.250
0.524,0.238,0.238
0.500,0.262,0.238
